DESIGNATION;DESCRIPTION;LIEN;CATEGORIES;ETAT;AUTEUR.ICES;PROJETS
Etude ACV Méthanisation;Le développement de la production de gaz renouvelabes dans les territoires repose aujourd'hui essentiellement sur le procédé de méthanisation, tehcnologie la plus mature. Pour quantifier les impacts environnementaux de la production de biométhanes issu des résidus agricole, les experts de l'INRAE transfert, mandatés par GrDF ont réalisé une étude ACV.;https://github.com/Konsilion/PicoJoule_Data/blob/master/ACV/CP_EtudeACVMethanisation_VF_0.pdf;ACV;Disponible;Picojoules;1
Rapport ACV Biométhane;La méthanisation pourrait constituer un des leviers majeurs pour atteindre un mix de gaz 100% renouvelable dans les réseaux en 2050. Le développement de la filière repose sur la mobilisation de ressources organiques qui seront valorisés. Cette étude proposeun bilan environnemental du biométhane issu de ressources agricoles.;https://github.com/Konsilion/PicoJoule_Data/blob/master/ACV/Rapport%20ACV_Biomethane%20issu%20de%20ressources%20agricoles_INRAE%20Transfert_GRDF....pdf;ACV;Disponible;Picojoules;2
Impacts filière compostage;Dans cette ACV comparative, les résultats d’impacts sur l’environnement sont présentés selon trois types : les impacts générés, les impacts évités, et enfin les impacts agrégés;https://github.com/Konsilion/PicoJoule_Data/blob/master/ACV/acv_impact_filiere_compostage_methanisation_rapport_.pdf;ACV;En cours;Picojoules;1
Etude ACV Méthanisation;Le développement de la production de gaz renouvelabes dans les territoires repose aujourd'hui essentiellement sur le procédé de méthanisation, tehcnologie la plus mature. Pour quantifier les impacts environnementaux de la production de biométhanes issu des résidus agricole, les experts de l'INRAE transfert, mandatés par GrDF ont réalisé une étude ACV.;https://github.com/Konsilion/PicoJoule_Data/blob/master/ACV/CP_EtudeACVMethanisation_VF_0.pdf;ACV;Disponible;Picojoules;1
Rapport ACV Biométhane;La méthanisation pourrait constituer un des leviers majeurs pour atteindre un mix de gaz 100% renouvelable dans les réseaux en 2050. Le développement de la filière repose sur la mobilisation de ressources organiques qui seront valorisés. Cette étude proposeun bilan environnemental du biométhane issu de ressources agricoles.;https://github.com/Konsilion/PicoJoule_Data/blob/master/ACV/Rapport%20ACV_Biomethane%20issu%20de%20ressources%20agricoles_INRAE%20Transfert_GRDF....pdf;ACV;Disponible;Picojoules;1
Impacts filière compostage;Dans cette ACV comparative, les résultats d’impacts sur l’environnement sont présentés selon trois types : les impacts générés, les impacts évités, et enfin les impacts agrégés;https://github.com/Konsilion/PicoJoule_Data/blob/master/ACV/acv_impact_filiere_compostage_methanisation_rapport_.pdf;ACV;Disponible;Picojoules;1
Purification du CO2;Il existe actuellement plusieurs technologies pour séparer le méthane des autres composés chimiques présents dans le biogaz. Nous présentons ici un état de l'art des différents technologies de séparation de CO2 afin de dégager celle la plus à même de satisfaire une installation domestique.;https://github.com/Konsilion/PicoJoule_Data/blob/master/Epuration/Dossier%20purification%20biogaz%20-%20r%C3%A9cup%C3%A9ration%20CO2%20-%20GRDF.pdf;CO2;Disponible;Picojoules;1
Rapport séparation CO2;;https://github.com/Konsilion/PicoJoule_Data/blob/master/Epuration/Dossier%20s%C3%A9paration%20CO2%20par%20pression.odt;CO2;Disponible;Picojoules;1
Mise en place laboratoire - Picométhanisation;Mon stage de 4e année d’école d’ingénieur (Sup’EnR) s’est déroulée au sein de l’association Picojoule située à Ramonville (31) où pendant 8 semaines j’ai travaillée dans le domaine de la méthanisation à petite échelle. L’objectif initial de ce stage était la mise en place d’un petit laboratoire d’analyse permettant d’assurer un suivi régulier des digesteurs en fonctionnement.;https://github.com/Konsilion/PicoJoule_Data/blob/master/Stages/CR_Stage_PicoJoule.pdf;Stages;Disponible;Picojoules;1
Plans 3D - Capteur solaire thermique;Répertoire GrabCAD des plans FreeCAD d'un capteur solaire thermique plan.;https://grabcad.com/library/automated-solar-air-heater-1;Plans 3D;Disponible;Quentin PLISSON;1
Methaconcept;Un outil numérique d'analyse technico-économique d'une unité de méthanisation.;https://github.com/Konsilion/MethaConcept;Git repo;Disponible;Nicolas Brémond;1
Tuto DIY Ecran portable;Réaliser pour environ 30€ une dalle écran avec des matériaux de récupération et avec une certaine élégance.;https://www.youtube.com/watch?v=xgF9kBUEEJs;Vidéo;Disponible;Millomaker;
